,BM4,,,f1,f2,f3,f4,f5,,Strong,Weak,,BM5,,,f1,f2,f3,f4,f5,,Strong,Weak
64,CP_ZPAIR_MIN,,,0.125,0.0178571429,0.0677966102,0,0,,0.0357142857,0.0655737705,,CP_ZPAIR_MIN,,,0,0.2,0.0526315789,0,"0,0",,0.1111111111,0.0810810811
65,CP_ZS3DC_CB,,,0.1666666667,0.125,0.1016949153,0.0769230769,0,,0.1071428571,0.131147541,,CP_ZS3DC_CB,,,0.1428571429,0.2,0.0526315789,0,"0,0",,0.1111111111,0.1081081081
66,CP_ZS3DC_MIN,,,0.25,0.125,0.186440678,0.0384615385,0,,0.2142857143,0.1147540984,,CP_ZS3DC_MIN,,,0,0.2,0.0526315789,0.25,"0,0",,0.2222222222,0.0810810811
67,DESOLV,,,0.2083333333,0.125,0.0338983051,0.1538461538,0,,0.1428571429,0.0819672131,,DESOLV,,,0.1428571429,0.05,0.1052631579,0,"0,0",,0.1111111111,0.0810810811
68,ELE,,,0.2083333333,0.2142857143,0.2033898305,0.0769230769,0,,0.3214285714,0.1639344262,,ELE,,,0.4285714286,0.2,0.1052631579,0,"0,0",,0.4444444444,0.1081081081
69,ODA,,,0.125,0.2678571429,0.1355932203,0.1153846154,0,,0.2142857143,0.1475409836,,ODA,,,0.1428571429,0.1,0.1052631579,0,"0,0",,0.1111111111,0.1081081081
70,PROPNSTS,,,0.1666666667,0.1607142857,0.186440678,0.0769230769,0.0909090909,,0.1785714286,0.131147541,,PROPNSTS,,,0.2857142857,0.25,0.0526315789,0,"0,0909090909091",,0.2222222222,0.2162162162
71,PYDOCK_TOT,,,0.2916666667,0.2321428571,0.2033898305,0.0769230769,0,,0.25,0.2459016393,,PYDOCK_TOT,,,0.2857142857,0.1,0.2105263158,0,"0,0",,0.2222222222,0.1351351351
72,SIPPER,,,0.2916666667,0.2678571429,0.1525423729,0.2307692308,0.0909090909,,0.4642857143,0.1639344262,,SIPPER,,,0.1428571429,0.15,0.0526315789,0,"0,0909090909091",,0.2222222222,0.1891891892
73,VDW,,,0.375,0.2321428571,0.1525423729,0,0,,0.25,0.1639344262,,VDW,,,0.2857142857,0.2,0.0526315789,0,"0,0",,0.1111111111,0.1351351351
74,SDOCK,,,0.4166666667,0.3035714286,0.3050847458,0,0,,0.3571428571,0.1967213115,,SDOCK,,,0.4285714286,0.25,0.1578947368,0,"0,0",,0.3333333333,0.1621621622
,,,,,,,,,,,,,,,,,,,,,,,
,BM4,,,f1,f2,f3,f4,f5,,Strong,Weak,,BM5,,,f1,f2,f3,f4,f5,,Strong,Weak
1,AP_calRW,,,0.1666666667,0.1964285714,0.2203389831,0.1153846154,0,,0.2142857143,0.1639344262,,AP_calRW,,,0.2857142857,0.1,0.1052631579,0,"0,0",,0.2222222222,0.1081081081
2,AP_calRWp,,,0.2083333333,0.2678571429,0.3220338983,0.0769230769,0,,0.3928571429,0.1639344262,,AP_calRWp,,,0.5714285714,0.15,0.0526315789,0.25,"0,0",,0.3333333333,0.1621621622
3,AP_DARS,,,0.1666666667,0.125,0.1355932203,0.1538461538,0.0909090909,,0.2142857143,0.131147541,,AP_DARS,,,0,0.25,0.1578947368,0,"0,0909090909091",,0.3333333333,0.1081081081
4,AP_DCOMPLEX,,,0.3333333333,0.3214285714,0.2542372881,0,0,,0.2857142857,0.2131147541,,AP_DCOMPLEX,,,0.4285714286,0.1,0.0526315789,0,"0,0",,0.3333333333,0.1621621622
5,AP_dDFIRE,,,0.375,0.3035714286,0.2033898305,0.1538461538,0,,0.2857142857,0.1967213115,,AP_dDFIRE,,,0.1428571429,0.05,0.0526315789,0,"0,0",,0.1111111111,0.0810810811
6,AP_DFIRE2,,,0.1666666667,0.1607142857,0.186440678,0.0769230769,0,,0.2142857143,0.0983606557,,AP_DFIRE2,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.2222222222,0.0810810811
7,AP_DOPE,,,0.1666666667,0.125,0.1355932203,0.1153846154,0,,0.2142857143,0.0491803279,,AP_DOPE,,,0.1428571429,0,0,0,"0,0",,0.1111111111,0
8,AP_DOPE_HR,,,0.25,0.1428571429,0.1016949153,0.0384615385,0.0909090909,,0.1785714286,0.0983606557,,AP_DOPE_HR,,,0.2857142857,0,0.0526315789,0,"0,0909090909091",,0.2222222222,0.0810810811
9,AP_GOAP_ALL,,,0.0416666667,0.0714285714,0.1016949153,0.1538461538,0,,0.0357142857,0.0819672131,,AP_GOAP_ALL,,,0.1428571429,0.1,0.1052631579,0,"0,0",,0.2222222222,0.0540540541
10,AP_GOAP_DF,,,0.25,0.2142857143,0.1525423729,0.1153846154,0,,0.2857142857,0.131147541,,AP_GOAP_DF,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.2222222222,0.1351351351
11,AP_GOAP_G,,,0,0.0535714286,0.0847457627,0.1153846154,0,,0,0.0655737705,,AP_GOAP_G,,,0,0.05,0,0,"0,0",,0,0.0540540541
12,AP_MPS,,,0.0833333333,0.2142857143,0.1186440678,0.0769230769,0,,0.25,0.0491803279,,AP_MPS,,,0.2857142857,0.15,0.1052631579,0.25,"0,0",,0.3333333333,0.0810810811
13,AP_PISA,,,0.4583333333,0.3214285714,0.3559322034,0.3846153846,0,,0.5357142857,0.2950819672,,AP_PISA,,,0.2857142857,0.15,0.1052631579,0.25,"0,0",,0.3333333333,0.1891891892
14,AP_T1,,,0.4166666667,0.2857142857,0.2881355932,0.1538461538,0,,0.3571428571,0.2131147541,,AP_T1,,,0.4285714286,0.25,0.1052631579,0,"0,0",,0.5555555556,0.1351351351
15,AP_T2,,,0.4583333333,0.2678571429,0.2711864407,0.1538461538,0.0909090909,,0.3214285714,0.1639344262,,AP_T2,,,0.4285714286,0.3,0.0526315789,0,"0,0909090909091",,0.4444444444,0.2162162162
16,AP_URS,,,0.25,0.1607142857,0.1186440678,0.1538461538,0,,0.2142857143,0.0819672131,,AP_URS,,,0.1428571429,0.15,0.0526315789,0,"0,0",,0.1111111111,0.1351351351
17,AP_WENG,,,0.125,0.0357142857,0.0338983051,0,0,,0.1071428571,0.0163934426,,AP_WENG,,,0,0,0.0526315789,0,"0,0",,0,0.0540540541
18,CP_BFKV,,,0.1666666667,0.125,0.186440678,0.1538461538,0.0909090909,,0.25,0.0983606557,,CP_BFKV,,,0.1428571429,0.15,0.1052631579,0.25,"0,0909090909091",,0.3333333333,0.027027027
19,CP_BL,,,0.2083333333,0.1964285714,0.2203389831,0.1153846154,0.0909090909,,0.3571428571,0.131147541,,CP_BL,,,0.2857142857,0.2,0.0526315789,0,"0,0909090909091",,0.1111111111,0.2432432432
20,CP_BT,,,0.25,0.2142857143,0.2881355932,0.1923076923,0,,0.25,0.1967213115,,CP_BT,,,0.4285714286,0.3,0.1578947368,0,"0,0",,0.5555555556,0.1891891892
21,CP_DECK,,,0.3333333333,0.2857142857,0.2372881356,0.1923076923,0,,0.3214285714,0.2131147541,,CP_DECK,,,0,0,0.1052631579,0,"0,0",,0,0.0810810811
22,CP_E3D_CB,,,0.2083333333,0.1785714286,0.1355932203,0.1153846154,0,,0.1785714286,0.0819672131,,CP_E3D_CB,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.2222222222,0.0810810811
23,CP_E3DC_CB,,,0.125,0.0357142857,0.1016949153,0.0769230769,0,,0.1071428571,0.0655737705,,CP_E3DC_CB,,,0.1428571429,0.05,0,0,"0,0",,0.1111111111,0.0810810811
24,CP_E3DC_MIN,,,0.3333333333,0.1785714286,0.1525423729,0.1153846154,0,,0.2857142857,0.1475409836,,CP_E3DC_MIN,,,0,0.1,0.2105263158,0,"0,0",,0.2222222222,0.0810810811
25,CP_E3D_MIN,,,0.25,0.25,0.1694915254,0.1153846154,0,,0.4642857143,0.0983606557,,CP_E3D_MIN,,,0,0.25,0.1578947368,0.25,"0,0",,0.1111111111,0.1351351351
26,CP_ELOCAL_CB,,,0.2083333333,0.2142857143,0.1186440678,0.1153846154,0,,0.25,0.0819672131,,CP_ELOCAL_CB,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.2222222222,0.1081081081
27,CP_ELOCAL_MIN,,,0.2083333333,0.2321428571,0.2033898305,0.1153846154,0,,0.3214285714,0.1147540984,,CP_ELOCAL_MIN,,,0,0.15,0.0526315789,0,"0,0",,0,0.1351351351
28,CP_EPAIR_CB,,,0.1666666667,0.1428571429,0.1186440678,0.1538461538,0,,0.25,0.0655737705,,CP_EPAIR_CB,,,0.1428571429,0.15,0.0526315789,0,"0,0",,0.2222222222,0.027027027
29,CP_EPAIR_MIN,,,0.3333333333,0.2142857143,0.1694915254,0.0769230769,0,,0.3571428571,0.1639344262,,CP_EPAIR_MIN,,,0,0.2,0.1052631579,0,"0,0",,0.1111111111,0.0810810811
30,CP_ES3DC_CB,,,0.125,0.125,0.0677966102,0.1923076923,0,,0.2142857143,0.0819672131,,CP_ES3DC_CB,,,0,0.05,0,0,"0,0",,0,0.0540540541
31,CP_ES3DC_MIN,,,0.1666666667,0.1428571429,0.1525423729,0.1153846154,0,,0.2142857143,0.1147540984,,CP_ES3DC_MIN,,,0.1428571429,0.1,0.1578947368,0,"0,0",,0.2222222222,0.0810810811
32,CP_GKS,,,0.125,0.1071428571,0.1525423729,0,0,,0.1071428571,0.0819672131,,CP_GKS,,,0.5714285714,0.05,0.0526315789,0,"0,0",,0.4444444444,0.0810810811
33,CP_HLPL,,,0.25,0.2321428571,0.2881355932,0.2692307692,0,,0.3928571429,0.1639344262,,CP_HLPL,,,0.2857142857,0.2,0.2105263158,0.25,"0,0",,0.3333333333,0.1891891892
34,CP_MJ1,,,0,0.0535714286,0.0508474576,0.0384615385,0,,0,0.0327868852,,CP_MJ1,,,0.2857142857,0.1,0,0,"0,0",,0.2222222222,0.0810810811
35,CP_MJ2,,,0.0833333333,0.0892857143,0.1016949153,0.0384615385,0,,0.0357142857,0.0163934426,,CP_MJ2,,,0.4285714286,0.1,0.1052631579,0,"0,0",,0.3333333333,0.0540540541
36,CP_MJ2h,,,0.2916666667,0.2857142857,0.2033898305,0.1538461538,0,,0.3571428571,0.1639344262,,CP_MJ2h,,,0.1428571429,0.1,0.1052631579,0.25,"0,0",,0.1111111111,0.1621621622
37,CP_MJ3h,,,0.2916666667,0.1964285714,0.186440678,0.2307692308,0.0909090909,,0.3214285714,0.1803278689,,CP_MJ3h,,,0,0.25,0.1052631579,0,"0,0909090909091",,0.1111111111,0.0810810811
38,CP_MJPL,,,0.25,0.2678571429,0.2881355932,0.1538461538,0,,0.3214285714,0.1639344262,,CP_MJPL,,,0.1428571429,0.15,0.1052631579,0.25,"0,0",,0.1111111111,0.2162162162
39,CP_MS,,,0.125,0.1785714286,0.1694915254,0.0769230769,0,,0.0714285714,0.0983606557,,CP_MS,,,0.4285714286,0.15,0.0526315789,0,"0,0",,0.4444444444,0.1081081081
40,CP_MSBM,,,0.2083333333,0.0892857143,0.1016949153,0,0,,0.2142857143,0.0819672131,,CP_MSBM,,,0,0.05,0.1578947368,0,"0,0",,0.1111111111,0.1081081081
41,CP_Qa,,,0.0833333333,0.0714285714,0.0508474576,0.1538461538,0,,0.1071428571,0.0491803279,,CP_Qa,,,0,0.05,0.0526315789,0,"0,0",,0.1111111111,0
42,CP_Qm,,,0.125,0.0892857143,0.0847457627,0.1923076923,0,,0.1785714286,0.0655737705,,CP_Qm,,,0,0.2,0.1052631579,0,"0,0",,0.1111111111,0.1081081081
43,CP_Qp,,,0.2916666667,0.2321428571,0.2711864407,0.2692307692,0,,0.3928571429,0.131147541,,CP_Qp,,,0.1428571429,0.15,0.1578947368,0.25,"0,0",,0.1111111111,0.1351351351
44,CP_RMFCA,,,0.25,0.2142857143,0.2542372881,0.1153846154,0,,0.2857142857,0.1639344262,,CP_RMFCA,,,0,0.2,0.1578947368,0,"0,0",,0.1111111111,0.1621621622
45,CP_RMFCEN1,,,0.25,0.25,0.2033898305,0.1923076923,0,,0.3928571429,0.0983606557,,CP_RMFCEN1,,,0.1428571429,0.25,0.0526315789,0,"0,0",,0.2222222222,0.1081081081
46,CP_RMFCEN2,,,0.25,0.2678571429,0.1694915254,0.1538461538,0,,0.3214285714,0.0655737705,,CP_RMFCEN2,,,0.1428571429,0.2,0.1052631579,0,"0,0",,0.2222222222,0.0540540541
47,CP_RO,,,0.0416666667,0.0892857143,0.1355932203,0.0769230769,0,,0.0714285714,0.0655737705,,CP_RO,,,0.1428571429,0.1,0,0,"0,0",,0,0.0810810811
48,CP_SJKG,,,0,0.0892857143,0.1186440678,0.1153846154,0.0909090909,,0.0714285714,0.0819672131,,CP_SJKG,,,0.1428571429,0.2,0,0,"0,0909090909091",,0.2222222222,0.027027027
49,CP_SKOa,,,0.0833333333,0.125,0.1525423729,0.1923076923,0.0909090909,,0.1785714286,0.0983606557,,CP_SKOa,,,0.1428571429,0.2,0.0526315789,0.25,"0,0909090909091",,0.2222222222,0.0810810811
50,CP_SKOb,,,0.2083333333,0.1071428571,0.186440678,0.1538461538,0,,0.25,0.1475409836,,CP_SKOb,,,0.1428571429,0.1,0.0526315789,0,"0,0",,0.1111111111,0.1081081081
51,CP_SKOIP,,,0.125,0.1785714286,0.186440678,0.2307692308,0,,0.2857142857,0.1639344262,,CP_SKOIP,,,0,0.15,0.0526315789,0,"0,0",,0,0.0810810811
52,CP_TB,,,0.2916666667,0.2142857143,0.2033898305,0.1923076923,0.0909090909,,0.4285714286,0.1639344262,,CP_TB,,,0.2857142857,0.3,0.1578947368,0,"0,0909090909091",,0.5555555556,0.0810810811
53,CP_TD,,,0.25,0.2857142857,0.2203389831,0.1538461538,0.0909090909,,0.2857142857,0.1639344262,,CP_TD,,,0,0.15,0.2105263158,0,"0,0909090909091",,0.3333333333,0.0810810811
54,CP_TEl,,,0.2916666667,0.1964285714,0.186440678,0.1923076923,0.0909090909,,0.3214285714,0.131147541,,CP_TEl,,,0.2857142857,0.05,0.0526315789,0,"0,0909090909091",,0.1111111111,0.1081081081
55,CP_TEs,,,0.0416666667,0.0535714286,0.1525423729,0.1538461538,0,,0.0714285714,0.0819672131,,CP_TEs,,,0,0.15,0,0,"0,0",,0,0.1081081081
56,CP_TS,,,0.2916666667,0.2142857143,0.186440678,0.1923076923,0,,0.3928571429,0.0983606557,,CP_TS,,,0.1428571429,0.1,0.1052631579,0.25,"0,0",,0.1111111111,0.1351351351
57,CP_TSC,,,0.4583333333,0.3035714286,0.2881355932,0.2307692308,0,,0.3928571429,0.2950819672,,CP_TSC,,,0.2857142857,0.2,0.1578947368,0,"0,0",,0.4444444444,0.2702702703
58,CP_VD,,,0.25,0.2321428571,0.1186440678,0.0384615385,0,,0.1428571429,0.1147540984,,CP_VD,,,0.5714285714,0.15,0.0526315789,0,"0,0",,0.5555555556,0.1081081081
59,CP_Z3DC_CB,,,0,0,0.0338983051,0.0769230769,0,,0,0.0163934426,,CP_Z3DC_CB,,,0,0,0,0,"0,0",,0,0
60,CP_Z3DC_MIN,,,0.0833333333,0.1428571429,0.0847457627,0.1153846154,0,,0.1071428571,0.1475409836,,CP_Z3DC_MIN,,,0,0,0,0,"0,0",,0,0.0540540541
61,CP_ZLOCAL_CB,,,0.0416666667,0.0357142857,0.0847457627,0.0384615385,0,,0,0.0327868852,,CP_ZLOCAL_CB,,,0.1428571429,0,0,0,"0,0",,0,0.0540540541
62,CP_ZLOCAL_MIN,,,0,0.0535714286,0.0677966102,0.0769230769,0,,0,0.0163934426,,CP_ZLOCAL_MIN,,,0.2857142857,0,0,0,"0,0",,0,0.0540540541
63,CP_ZPAIR_CB,,,0,0.0535714286,0.0338983051,0.0384615385,0,,0.0357142857,0.0327868852,,CP_ZPAIR_CB,,,0,0.05,0.0526315789,0,"0,0",,0,0.0810810811
64,CP_ZPAIR_MIN,,,0,0.0714285714,0.0677966102,0.0769230769,0,,0.0714285714,0.0491803279,,CP_ZPAIR_MIN,,,0.1428571429,0.05,0.0526315789,0,"0,0",,0.1111111111,0.027027027
65,CP_ZS3DC_CB,,,0.0833333333,0.0892857143,0.0677966102,0.1538461538,0,,0.0714285714,0.0819672131,,CP_ZS3DC_CB,,,0,0.05,0,0,"0,0",,0,0.0810810811
66,CP_ZS3DC_MIN,,,0.0833333333,0.1607142857,0.1525423729,0.1153846154,0,,0.1785714286,0.131147541,,CP_ZS3DC_MIN,,,0.1428571429,0.1,0.1052631579,0,"0,0",,0.2222222222,0.1081081081
67,DESOLV,,,0.125,0.125,0.0338983051,0.1153846154,0.0909090909,,0.1071428571,0.0819672131,,DESOLV,,,0,0.1,0,0,"0,0909090909091",,0,0.0810810811
68,ELE,,,0.2083333333,0.2857142857,0.2033898305,0.1153846154,0,,0.25,0.2131147541,,ELE,,,0.5714285714,0.15,0.2105263158,0.25,"0,0",,0.6666666667,0.1891891892
69,ODA,,,0.2083333333,0.1964285714,0.1355932203,0.1538461538,0,,0.2857142857,0.1475409836,,ODA,,,0,0.05,0.0526315789,0,"0,0",,0,0.1081081081
70,PROPNSTS,,,0.1666666667,0.0892857143,0.1694915254,0.1923076923,0,,0.1428571429,0.131147541,,PROPNSTS,,,0,0.15,0,0,"0,0",,0.1111111111,0.0540540541
71,PYDOCK_TOT,,,0.4166666667,0.3214285714,0.1525423729,0.1153846154,0,,0.3571428571,0.2950819672,,PYDOCK_TOT,,,0.2857142857,0.25,0.2631578947,0,"0,0",,0.2222222222,0.1891891892
72,SIPPER,,,0.25,0.1964285714,0.1694915254,0.1923076923,0,,0.3214285714,0.1639344262,,SIPPER,,,0.1428571429,0.25,0,0,"0,0",,0.2222222222,0.1351351351
73,VDW,,,0.2916666667,0.1428571429,0.0847457627,0.0384615385,0,,0.1785714286,0.0655737705,,VDW,,,0.2857142857,0.1,0,0,"0,0",,0.1111111111,0.0810810811
74,ZDOCK,,,0.4583333333,0.3214285714,0.2542372881,0.1153846154,0,,0.4285714286,0.2131147541,,ZDOCK,,,0.2857142857,0.4,0.1578947368,0,"0,0",,0.3333333333,0.2162162162
